interval_start_utc,interval_end_utc,kp,ap
2022-11-01T00:00:00+00:00,2022-11-01T03:00:00+00:00,1.0,4
2022-11-01T03:00:00+00:00,2022-11-01T06:00:00+00:00,0.667,3
2022-11-01T06:00:00+00:00,2022-11-01T09:00:00+00:00,3.333,18
2022-11-01T09:00:00+00:00,2022-11-01T12:00:00+00:00,2.667,12
2022-11-01T12:00:00+00:00,2022-11-01T15:00:00+00:00,2.0,7
2022-11-01T15:00:00+00:00,2022-11-01T18:00:00+00:00,0.667,3
2022-11-01T18:00:00+00:00,2022-11-01T21:00:00+00:00,1.667,6
2022-11-01T21:00:00+00:00,2022-11-02T00:00:00+00:00,1.333,5
2022-11-02T00:00:00+00:00,2022-11-02T03:00:00+00:00,2.333,9
2022-11-02T03:00:00+00:00,2022-11-02T06:00:00+00:00,3.333,18
2022-11-02T06:00:00+00:00,2022-11-02T09:00:00+00:00,2.667,12
2022-11-02T09:00:00+00:00,2022-11-02T12:00:00+00:00,2.0,7
2022-11-02T12:00:00+00:00,2022-11-02T15:00:00+00:00,2.333,9
2022-11-02T15:00:00+00:00,2022-11-02T18:00:00+00:00,4.0,27
2022-11-02T18:00:00+00:00,2022-11-02T21:00:00+00:00,3.333,18
2022-11-02T21:00:00+00:00,2022-11-03T00:00:00+00:00,2.0,7
2022-11-03T00:00:00+00:00,2022-11-03T03:00:00+00:00,3.0,15
2022-11-03T03:00:00+00:00,2022-11-03T06:00:00+00:00,2.0,7
2022-11-03T06:00:00+00:00,2022-11-03T09:00:00+00:00,3.0,15
2022-11-03T09:00:00+00:00,2022-11-03T12:00:00+00:00,4.333,32
2022-11-03T12:00:00+00:00,2022-11-03T15:00:00+00:00,4.333,32
2022-11-03T15:00:00+00:00,2022-11-03T18:00:00+00:00,5.0,48
2022-11-03T18:00:00+00:00,2022-11-03T21:00:00+00:00,3.333,18
2022-11-03T21:00:00+00:00,2022-11-04T00:00:00+00:00,4.333,32
2022-11-04T00:00:00+00:00,2022-11-04T03:00:00+00:00,3.667,22
2022-11-04T03:00:00+00:00,2022-11-04T06:00:00+00:00,3.667,22
2022-11-04T06:00:00+00:00,2022-11-04T09:00:00+00:00,3.333,18
2022-11-04T09:00:00+00:00,2022-11-04T12:00:00+00:00,3.0,15
2022-11-04T12:00:00+00:00,2022-11-04T15:00:00+00:00,2.667,12
2022-11-04T15:00:00+00:00,2022-11-04T18:00:00+00:00,2.667,12
2022-11-04T18:00:00+00:00,2022-11-04T21:00:00+00:00,2.0,7
2022-11-04T21:00:00+00:00,2022-11-05T00:00:00+00:00,2.667,12
2022-11-05T00:00:00+00:00,2022-11-05T03:00:00+00:00,3.0,15
2022-11-05T03:00:00+00:00,2022-11-05T06:00:00+00:00,3.667,22
2022-11-05T06:00:00+00:00,2022-11-05T09:00:00+00:00,1.667,6
2022-11-05T09:00:00+00:00,2022-11-05T12:00:00+00:00,2.667,12
2022-11-05T12:00:00+00:00,2022-11-05T15:00:00+00:00,2.0,7
2022-11-05T15:00:00+00:00,2022-11-05T18:00:00+00:00,1.333,5
2022-11-05T18:00:00+00:00,2022-11-05T21:00:00+00:00,1.0,4
2022-11-05T21:00:00+00:00,2022-11-06T00:00:00+00:00,1.0,4
2022-11-06T00:00:00+00:00,2022-11-06T03:00:00+00:00,0.667,3
2022-11-06T03:00:00+00:00,2022-11-06T06:00:00+00:00,1.0,4
2022-11-06T06:00:00+00:00,2022-11-06T09:00:00+00:00,1.0,4
2022-11-06T09:00:00+00:00,2022-11-06T12:00:00+00:00,0.667,3
2022-11-06T12:00:00+00:00,2022-11-06T15:00:00+00:00,0.333,2
2022-11-06T15:00:00+00:00,2022-11-06T18:00:00+00:00,0.333,2
2022-11-06T18:00:00+00:00,2022-11-06T21:00:00+00:00,0.333,2
2022-11-06T21:00:00+00:00,2022-11-07T00:00:00+00:00,1.0,4
2022-11-07T00:00:00+00:00,2022-11-07T03:00:00+00:00,1.0,4
2022-11-07T03:00:00+00:00,2022-11-07T06:00:00+00:00,1.333,5
2022-11-07T06:00:00+00:00,2022-11-07T09:00:00+00:00,1.667,6
2022-11-07T09:00:00+00:00,2022-11-07T12:00:00+00:00,3.333,18
2022-11-07T12:00:00+00:00,2022-11-07T15:00:00+00:00,4.333,32
2022-11-07T15:00:00+00:00,2022-11-07T18:00:00+00:00,5.0,48
2022-11-07T18:00:00+00:00,2022-11-07T21:00:00+00:00,5.0,48
2022-11-07T21:00:00+00:00,2022-11-08T00:00:00+00:00,2.0,7
