day_utc,f107_daily_median,duplicate_readings_averaged,high_spread_pct
2022-08-12,119.5,0,
2022-08-13,123.4,0,
2022-08-14,125.6,0,
2022-08-15,131.8,0,
2022-08-16,131.0,0,
2022-08-17,122.7,0,
2022-08-18,117.4,0,
2022-08-19,107.4,0,
2022-08-20,101.5,0,
2022-08-21,96.8,0,
2022-08-22,98.4,0,
2022-08-23,100.9,0,
2022-08-24,107.8,0,
2022-08-25,115.9,0,
2022-08-26,118.6,0,
2022-08-27,127.5,0,
2022-08-28,151.6,0,78.10026385224275
2022-08-29,130.6,0,179.249617151608
2022-08-30,125.6,0,
2022-08-31,113.3,0,
2022-09-01,116.3,0,
2022-09-02,126.8,0,
2022-09-03,123.4,0,
2022-09-04,128.3,0,
2022-09-05,130.2,0,
2022-09-06,126.2,0,
2022-09-07,125.5,0,
2022-09-08,126.6,0,
2022-09-09,123.7,0,
2022-09-10,131.9,0,
2022-09-11,151.0,0,
2022-09-12,150.4,0,
2022-09-13,154.2,0,
2022-09-14,144.3,0,
2022-09-15,138.7,0,
2022-09-16,131.1,0,
2022-09-17,132.8,0,
2022-09-18,135.2,0,
2022-09-19,130.2,0,
2022-09-20,137.2,1,
2022-09-21,135.6,0,
2022-09-22,137.4,0,
2022-09-23,146.3,0,
2022-09-24,147.4,0,
2022-09-25,134.7,0,
2022-09-26,135.8,0,
2022-09-27,134.5,0,
2022-09-28,134.8,0,
2022-09-29,137.2,0,
2022-09-30,137.1,0,
2022-10-01,143.4,0,
2022-10-02,147.4,0,
2022-10-03,155.1,0,
2022-10-04,152.4,0,
2022-10-05,160.4,0,
2022-10-06,156.6,0,
2022-10-07,159.7,0,
2022-10-08,158.1,0,
2022-10-09,160.5,0,
2022-10-10,163.2,0,
2022-10-11,150.3,0,
2022-10-12,139.9,0,
2022-10-13,130.0,0,
2022-10-14,119.9,0,
2022-10-15,115.1,0,
2022-10-16,119.2,0,
2022-10-17,123.4,1,
2022-10-18,113.9,0,
2022-10-19,111.7,0,
2022-10-20,115.8,0,
2022-10-21,109.4,0,
2022-10-22,105.0,0,
2022-10-23,106.95,1,
2022-10-24,113.7,0,
2022-10-25,116.3,0,
2022-10-26,122.4,0,
2022-10-27,129.7,0,
2022-10-28,130.4,0,
2022-10-29,133.9,0,
2022-10-30,130.8,0,
2022-10-31,130.5,0,
2022-11-01,128.1,0,
2022-11-02,129.5,0,
2022-11-03,126.8,0,
2022-11-04,117.7,0,
2022-11-05,132.2,0,
2022-11-06,133.0,0,
2022-11-07,134.6,0,
