dtec,gdlat,glon,station,tec,ut1_unix
1.3104,32.0,35.0,BSHM,7.4155,1667261700.0
0.921661,32.0,35.0,BSHM,7.58028,1667262000.0
0.752928,32.0,35.0,BSHM,7.08737,1667262300.0
0.922062,32.0,35.0,BSHM,6.94658,1667262600.0
0.652041,32.0,35.0,BSHM,7.0827,1667262900.0
0.583126,32.0,35.0,BSHM,6.98405,1667263200.0
0.65164,32.0,35.0,BSHM,6.91634,1667263500.0
0.582881,32.0,35.0,BSHM,6.84232,1667263800.0
0.493504,32.0,35.0,BSHM,7.03719,1667264100.0
0.532865,32.0,35.0,BSHM,6.9645,1667264400.0
0.583144,32.0,35.0,BSHM,7.10987,1667264700.0
0.582556,32.0,35.0,BSHM,7.33608,1667265000.0
0.582845,32.0,35.0,BSHM,7.56927,1667265300.0
0.650857,32.0,35.0,BSHM,7.67415,1667265600.0
0.531574,32.0,35.0,BSHM,7.45386,1667265900.0
0.531444,32.0,35.0,BSHM,7.20115,1667266200.0
0.492165,32.0,35.0,BSHM,6.96973,1667266500.0
0.460555,32.0,35.0,BSHM,6.84827,1667266800.0
0.460796,32.0,35.0,BSHM,6.8664,1667267100.0
0.41275,32.0,35.0,BSHM,6.68707,1667267400.0
0.434178,32.0,35.0,BSHM,6.41108,1667267700.0
0.492141,32.0,35.0,BSHM,6.3111,1667268000.0
0.460473,32.0,35.0,BSHM,6.0945,1667268300.0
0.434085,32.0,35.0,BSHM,5.91966,1667268600.0
0.434033,32.0,35.0,BSHM,5.7835,1667268900.0
0.492129,32.0,35.0,BSHM,5.6377,1667269200.0
0.492531,32.0,35.0,BSHM,5.80442,1667269500.0
0.492471,32.0,35.0,BSHM,5.65022,1667269800.0
0.412503,32.0,35.0,BSHM,5.40042,1667270100.0
0.461075,32.0,35.0,BSHM,5.28436,1667270400.0
0.492341,32.0,35.0,BSHM,5.23533,1667270700.0
0.413083,32.0,35.0,BSHM,5.08762,1667271000.0
